"id","nombreOA","likes","dislikes","Capacidad","Desempenio","Tema","keyword"
1,"Conjunto de los números naturales",8,1,"Traduce cantidades a expresiones numéricas","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","CONJUNTO DE LOS NÚMEROS NATURALES","Adición, sistema natural, elemento neutro,Sistema natural,Elemento neutro"
2,"Noción de número racional",4,0,"Traduce cantidades a expresiones numéricas","Plantea afirmaciones sobre las propiedades de los números y de las operaciones con números naturales y sobre las relaciones inversas entre las operaciones. Las justifica o sustenta con ejemplos y propiedades de los números y de las operaciones. Infiere relaciones entre estas. Reconoce errores en sus justificaciones y en las de otros, y las corrige.","LOS NUMEROS RACIONALES","Representación racional,Racional,Conjunto Q,Ración"
3,"El conjunto Q en la recta",1,0,"Traduce cantidades a expresiones numéricas","Establece relaciones entre datos y acciones de comparar e igualar cantidades con racionales.","LOS NUMEROS RACIONALES","Número racional,Fracción,Recta,Comparación"
4,"Conversión de racionales",4,0,"Traduce cantidades a expresiones numéricas","Establece relaciones y conversiones entre expresiones fraccionarias  y decimales.","LOS NUMEROS RACIONALES","Convertir,Racional,Decimal,Fracción"
5,"Multiplicación en Q",1,0,"Traduce cantidades a expresiones numéricas","Establece relaciones entre datos y acciones de ganar, perder, comparar e igualar cantidades, o una combinación de acciones. Las transforma a expresiones numéricas (modelos) que incluyen operaciones de adición, sustracción, multiplicación, división con números enteros.","LOS NUMEROS RACIONALES","Fracciones,Decimales,Multiplicación de racionales"
7,"Deducción de propiedades en las operaciones con números racionales",0,0,"Traduce cantidades a expresiones numéricas","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","El conjunto Q ","Fracciones,Suma de fracciones"
9,"Operaciones en Q",1,0,"Traduce cantidades a expresiones numéricas","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","El conjunto de los números Racionales","Números imaginarios,Números complejos"
11,"Adición y sustracción en Z",0,1,"Traduce cantidades a expresiones numéricas","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","El conjunto Z","Recta numérica,Números enteros"
12,"Adición y sustracción en Z",0,0,"Traduce cantidades a expresiones numéricas","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","El conjunto Z","Números enteros,Operaciones con números enteros"
29,"Operaciones en R",0,0,"Traduce cantidades a expresiones numéricas","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","El conjunto R","Radicación de números enteros,Potenciación de números enteros,Elementos de la potenciación y radicación"
36,"Comparación de medidas de tiempo expresadas con unidades del sistema internacional.",0,0,"Traduce cantidades a expresiones numéricas","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Medidas de tiempo en el S.I. y Sistema inglés","Conversiones y equivalencias,Sistema internacional de medidas,Multiplicación y división de números enteros"
37," Regla de tres. Reconocimiento de distintas representaciones de situaciones de cambio y variación.",0,0,"Traduce cantidades a expresiones numéricas","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Proporcionalidad directa e inversa","Proporción directa,Aumento,Operaciones con números enteros"
38,"Comparación de medidas de masa expresadas con unidades del sistema internacional y el sistema inglés.",0,0,"Traduce cantidades a expresiones numéricas","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Medidas de masa en el S.I. y Sistema inglés","Equivalencias,Conversiones de unidades de masa"
39,"Operaciones en N.",0,0,"Traduce cantidades a expresiones numéricas","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Números naturales",""
40,"Operaciones con situaciones negativas",0,0,"Traduce cantidades a expresiones numéricas","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Conjunto Z","Enteros,Numeros,Situaciones positivas"
43,"Problemas de velocidades",0,0,"Traduce cantidades a expresiones numéricas","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Cinématica","Tiempo,Velocidad"
44,"Problemas con galones",0,0,"Traduce cantidades a expresiones numéricas","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","Volumen en el Sistema Inglés.","Racionales, Consumo"
46,"operaciones en N.",0,0,"Traduce cantidades a expresiones numéricas","Establece relaciones entre datos y accionesde ganar y perder que incluyen operaciones de adición en N","El conjunto N","Multiplicación,Numeros relativos"
